visit_id,timestamp,matched_customer_id,true_customer_id,status,confidence
40,2026-08-04T01:18:08,11.0,11,returning_customer,0.5391
41,2026-08-04T01:18:08,28.0,28,returning_customer,0.3517
42,2026-08-04T01:18:08,32.0,32,returning_customer,0.6548
43,2026-08-04T01:18:08,34.0,34,returning_customer,0.359
44,2026-08-04T01:18:08,29.0,29,returning_customer,0.6354
45,2026-08-04T01:18:08,22.0,22,returning_customer,0.5323
46,2026-08-04T01:18:08,32.0,32,returning_customer,0.6009
47,2026-08-04T01:18:08,29.0,29,returning_customer,0.6272
48,2026-08-04T01:18:08,4.0,34,returning_customer,0.3614
49,2026-08-04T01:18:08,,13,new_customer,0.2476
50,2026-08-04T01:18:08,25.0,25,returning_customer,0.7142
51,2026-08-04T01:18:08,31.0,31,returning_customer,0.4106
52,2026-08-04T01:18:08,23.0,23,returning_customer,0.4516
53,2026-08-04T01:18:08,33.0,33,returning_customer,0.5542
54,2026-08-04T01:18:08,8.0,8,returning_customer,0.6879
55,2026-08-04T01:18:08,28.0,28,returning_customer,0.6221
56,2026-08-04T01:18:08,10.0,10,returning_customer,0.6633
57,2026-08-04T01:18:08,7.0,7,returning_customer,0.3563
58,2026-08-04T01:18:08,,3,new_customer,0.2408
59,2026-08-04T01:18:08,19.0,19,returning_customer,0.4588
60,2026-08-04T01:18:08,39.0,39,returning_customer,0.3204
61,2026-08-04T01:18:08,12.0,12,returning_customer,0.6282
62,2026-08-04T01:18:08,6.0,6,returning_customer,0.5703
63,2026-08-04T01:18:08,,0,new_customer,0.1938
64,2026-08-04T01:18:08,21.0,21,returning_customer,0.6463
65,2026-08-04T01:18:08,31.0,31,returning_customer,0.4276
66,2026-08-04T01:18:08,1.0,1,returning_customer,0.3853
67,2026-08-04T01:18:08,11.0,11,returning_customer,0.5735
68,2026-08-04T01:18:08,22.0,22,returning_customer,0.3921
69,2026-08-04T01:18:08,3.0,3,returning_customer,0.5096
70,2026-08-04T01:18:08,26.0,26,returning_customer,0.7285
71,2026-08-04T01:18:08,9.0,9,returning_customer,0.4749
72,2026-08-04T01:18:08,18.0,18,returning_customer,0.5396
73,2026-08-04T01:18:08,27.0,27,returning_customer,0.5147
74,2026-08-04T01:18:08,2.0,2,returning_customer,0.5344
75,2026-08-04T01:18:08,13.0,13,returning_customer,0.5362
76,2026-08-04T01:18:08,18.0,18,returning_customer,0.5141
77,2026-08-04T01:18:08,4.0,4,returning_customer,0.8058
78,2026-08-04T01:18:08,11.0,11,returning_customer,0.4184
79,2026-08-04T01:18:08,30.0,30,returning_customer,0.5543
80,2026-08-04T01:18:08,12.0,12,returning_customer,0.454
81,2026-08-04T01:18:08,29.0,29,returning_customer,0.6131
82,2026-08-04T01:18:08,6.0,6,returning_customer,0.4628
83,2026-08-04T01:18:08,24.0,24,returning_customer,0.7752
84,2026-08-04T01:18:08,10.0,10,returning_customer,0.5404
85,2026-08-04T01:18:08,25.0,25,returning_customer,0.6464
86,2026-08-04T01:18:08,16.0,16,returning_customer,0.4121
87,2026-08-04T01:18:08,38.0,38,returning_customer,0.7062
88,2026-08-04T01:18:08,20.0,20,returning_customer,0.3743
89,2026-08-04T01:18:08,23.0,23,returning_customer,0.3887
90,2026-08-04T01:18:08,22.0,22,returning_customer,0.505
91,2026-08-04T01:18:08,37.0,37,returning_customer,0.448
92,2026-08-04T01:18:08,35.0,35,returning_customer,0.5246
93,2026-08-04T01:18:08,14.0,14,returning_customer,0.7443
94,2026-08-04T01:18:08,36.0,36,returning_customer,0.4097
95,2026-08-04T01:18:08,2.0,2,returning_customer,0.4268
96,2026-08-04T01:18:08,10.0,10,returning_customer,0.6581
97,2026-08-04T01:18:08,9.0,9,returning_customer,0.3214
98,2026-08-04T01:18:08,30.0,30,returning_customer,0.562
99,2026-08-04T01:18:08,28.0,28,returning_customer,0.3833
100,2026-08-04T01:18:08,5.0,5,returning_customer,0.5825
